City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
355,Thompson,CA,55.7435,-97.8558,-23.64,76,1,4.61,clear sky
356,Salalah,OM,17.0151,54.0924,69.89,68,20,4.61,few clouds
357,Elliot Lake,CA,46.3834,-82.6331,30.29,87,100,7.25,overcast clouds
358,Sorland,NO,67.667,12.6934,35.2,58,100,12.26,light rain
359,Gigmoto,PH,13.7796,124.39,79.39,85,94,14.63,overcast clouds
360,Kandava,LV,57.0409,22.7747,28.6,74,100,13.02,overcast clouds
361,Quang Ngai,VN,15.1167,108.8,72.41,93,99,2.13,overcast clouds
362,Buala,SB,-8.145,159.5921,84.58,73,86,10.87,light rain
363,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,19.57,few clouds
364,Springbok,ZA,-29.6643,17.8865,53.92,85,94,3.53,overcast clouds
365,Wamba,NG,8.9333,8.6,72.72,25,30,4.07,scattered clouds
366,Channel-Port Aux Basques,CA,47.5702,-59.1367,31.15,69,48,14.81,scattered clouds
367,Manicore,BR,-5.8092,-61.3003,75.63,97,100,1.86,overcast clouds
368,Belaya Gora,RU,68.5333,146.4167,-40.11,99,96,6.93,overcast clouds
369,Lana,IT,46.6124,11.1559,47.43,85,99,4.34,overcast clouds
370,San Policarpo,PH,12.1791,125.5072,80.96,82,44,16.46,scattered clouds
371,Riyadh,SA,24.6877,46.7219,53.74,61,100,9.33,overcast clouds
372,Lagoa,PT,39.05,-27.9833,62.62,91,100,32.64,overcast clouds
373,Morondava,MG,-20.2833,44.2833,77.09,85,63,7.49,broken clouds
374,Senanga,ZM,-16.1167,23.2667,67.1,78,93,3.76,light rain
375,Nokaneng,BW,-19.6667,22.2667,72.95,72,100,10.89,overcast clouds
376,Saint-Joseph,RE,-21.3667,55.6167,76.21,85,40,1.3,scattered clouds
377,Balykshi,KZ,47.0667,51.8667,19.4,79,0,22.37,clear sky
378,Wilmington,US,34.2257,-77.9447,62.98,74,1,11.5,clear sky
379,Sidrolandia,BR,-20.9319,-54.9614,81.39,65,0,3.96,clear sky
380,Batsfjord,NO,70.6345,29.7185,25.88,87,100,20.38,light snow
381,Katsuura,JP,35.1333,140.3,42.91,42,51,6.8,broken clouds
382,Rypefjord,NO,70.6333,23.6667,18.07,79,68,0.0,broken clouds
383,Grand Gaube,MU,-20.0064,57.6608,76.37,86,100,4.99,overcast clouds
384,Victoria,HK,22.2855,114.1577,62.33,78,100,1.01,overcast clouds
385,Porto Santo,PT,33.072,-16.3415,66.58,94,40,10.36,scattered clouds
386,Rimouski,CA,48.4488,-68.524,20.88,85,48,1.28,scattered clouds
387,Ixtapa,MX,20.7,-105.2,74.43,73,1,4.61,clear sky
388,Moindou,NC,-21.6924,165.677,89.55,64,97,6.96,overcast clouds
389,Velsk,RU,61.0701,42.0983,6.55,97,99,3.89,overcast clouds
390,Kahului,US,20.8947,-156.47,78.82,66,40,23.02,scattered clouds
391,Verkhnevilyuysk,RU,63.4453,120.3167,-40.67,100,96,3.74,overcast clouds
392,Cochrane,CA,51.1834,-114.4687,-13.14,63,75,4.61,broken clouds
393,Mount Gambier,AU,-37.8333,140.7667,60.71,67,90,19.57,overcast clouds
