City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Severo-Kurilsk,RU,2021-12-22 02:18:55,50.6789,156.125,24.93,71,13,17.87
130,Victoria,HK,2021-12-22 02:15:08,22.2855,114.1577,68.25,79,75,1.99
131,Chuy,UY,2021-12-22 02:17:39,-33.6971,-53.4616,65.32,85,0,6.78
132,Bermejo,AR,2021-12-22 02:18:57,-32.8833,-68.8,85.91,54,20,3.44
133,Bredasdorp,ZA,2021-12-22 02:18:58,-34.5322,20.0403,68.29,88,100,2.3
134,Vindeby,DK,2021-12-22 02:18:58,55.0449,10.6131,37.33,95,100,14.5
135,Kysyl-Syr,RU,2021-12-22 02:18:58,63.8986,122.7617,-51.72,100,60,2.08
136,Do Gonbadan,IR,2021-12-22 02:19:59,30.3586,50.7981,54.32,88,100,1.74
137,Torbay,CA,2021-12-22 02:19:59,47.6666,-52.7314,34.68,87,75,25.32
138,Safaga,EG,2021-12-22 02:19:59,26.7292,33.9365,59.13,52,7,13.24
